ticker,volume,sector,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,grossProfits,freeCashflow,currentPrice,earningsGrowth,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalCashPerShare,revenuePerShare,52WeekChange,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,lastFiscalYearEnd,netIncomeToCommon,trailingEps,lastDividendValue,heldPercentInsiders,nextFiscalYearEnd,floatShares,beta,forwardPE,sharesShortPriorMonth,previousClose,twoHundredDayAverage,fiftyTwoWeekHigh,fiveYearAvgDividendYield,fiftyTwoWeekLow,totalDebt,marketCap,cash to debt

EBF,96399,Industrials,Business Equipment & Supplies,0.17542,0.09024,0.29857,47926000,0.107,0.13227001,73945000,114723000,34209000,21.58,0.643,4.705,0.09235,4.247,0.12258001,91520000,3.542,16.274,0.110000014,None,12.228,514235,0.0199,1646006400,38039000,1.46,0.25,0.030989999,1709078400,23251719,0.426308,15.304965,609678,21.09,19.42205,22.67,4.59,16.55,13392000,557549504,78128000

ETV,190603,Financial Services,Asset Management,0,0,1,None,0.221,0.13167,None,17609728,None,13.55,None,0.18,0.0010800001,None,-0.119770005,20073,0,0.179,-0.1853422,None,12.75,1101119,0.0101,1640908800,-174755440,2.92,0.111,0,1703980800,None,0.901621,None,1279910,13.3392,14.77275,16.86,8.91,12.89,0,1472465024,20073

FBMS,84609,Financial Services,Banks�Regional,0,0.32773998,0,82909000,0.064,0.42014,None,194341000,None,31.47,0.027,None,0.01117,None,0.10569999,356771008,14.848,9.457,-0.22213835,None,27.3,849533,0.0354,1640908800,64505000,3.08,0.19,0.04121,1703980800,23016296,0.909358,8.621918,687607,30.92,32.2094,42.89,1.17,26.95,151027008,756164288,205744000

FGBI,8954,Financial Services,Banks�Regional,0,0.29416,0,49294000,0.163,0.37133,None,98323000,None,21.68,0.214,None,0.0110599995,None,0.14312,120398000,11.235,10.008,0.097380996,None,18.054,136618,0.0127,1640908800,29221000,2.73,0.16,0.49244,1703980800,5415519,0.476787,8.181132,156797,20.95,23.5941,29.65,3.18,18.727274,64910000,232340224,55488000

FMY,5922,Financial Services,Asset Management,0,-0.81334,1,None,-0.022,0.70322996,None,2643524,None,10.54,None,3.475,0.019450001,None,-0.03704,3430106,0.814,0.62,-0.22561866,None,13.022,560,0.0001,1635638400,-2125420,0.19,0.055,0.32584998,1698710400,None,0.248341,None,521,10.64,12.071,13.85,5.42,10.52,0,44865300,3430106

FNWD,37673,Financial Services,Banks�Regional,0,0.1886,0,9286000,0.348,0.2598,None,63013000,None,32.05,0.013,None,0.0072399997,None,0.091809995,87553000,20.371,18.747,-0.21938533,None,31.803,27007,0.0063,1640908800,13415000,3.56,0.31,0.14987001,1703980800,3638688,0.515475,6.952277,25178,32.92,40.7782,50,2.98,30.72,31232000,137747696,56321000

